Date,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2000-12-21,3120,3300,3070,3240,2513.58252,76625000,2614.436524,2662.535693
2000-12-22,3240,3300,3130,3140,2436.003174,63760000,2513.582845,2608.230078
2000-12-25,3140,3140,3140,3140,2436.003174,0,2461.862956,2543.063184
2000-12-26,3230,3240,3160,3160,2451.518555,60430000,2441.174968,2485.654053
2000-12-27,3160,3160,3160,3160,2451.518555,0,2446.346761,2457.725196
2000-12-28,3160,3160,3160,3160,2451.518555,0,2451.518555,2445.312403
2000-12-29,3160,3160,3160,3160,2451.518555,0,2451.518555,2448.415479
2001-01-01,3160,3160,3160,3160,2451.518555,0,2451.518555,2451.518555
2001-01-02,3160,3380,3140,3350,2598.921143,39455000,2500.652751,2480.999073
2001-01-03,3230,3420,3220,3370,2614.436035,37855000,2554.958578,2513.582569
2001-01-04,3790,3870,3660,3780,2932.513428,119910000,2715.290202,2609.781543
2001-01-05,3760,3920,3700,3900,3025.609131,78135000,2857.519531,2724.599658
2001-01-08,3820,3910,3780,3880,3010.092529,42295000,2989.405029,2836.314453
2001-01-09,3830,3860,3710,3840,2979.060547,46280000,3004.920736,2912.342334
2001-01-10,3780,3810,3700,3710,2878.206787,41235000,2955.786621,2965.096484
2001-01-11,3790,3790,3640,3640,2823.901123,31410000,2893.722819,2943.374023
2001-01-12,3800,3890,3770,3840,2979.060547,52900000,2893.722819,2934.064307
2001-01-15,3860,4020,3840,3920,3041.124512,51460000,2948.028727,2940.270703
2001-01-16,3960,4200,3850,4140,3211.799805,52065000,3077.328288,2986.818555
2001-01-17,4060,4240,4060,4220,3273.864014,52570000,3175.59611,3065.95
2001-01-18,4240,4530,4240,4400,3413.506836,57685000,3299.723552,3183.871143
2001-01-19,4700,4700,4520,4600,3568.66626,54245000,3418.679037,3301.792285
2001-01-22,4600,4600,4470,4550,3529.877197,42250000,3504.016764,3399.542822
2001-01-23,4550,4550,4550,4550,3529.877197,0,3542.806885,3463.158301
2001-01-24,4550,4550,4550,4550,3529.877197,0,3529.877197,3514.360937
2001-01-25,4550,4550,4550,4550,3529.877197,0,3529.877197,3537.63501
2001-01-26,4450,4480,3970,3980,3087.672852,91025000,3382.475749,3441.436328
2001-01-29,4000,4100,3960,4020,3118.705322,47245000,3245.418457,3359.201953
2001-01-30,4100,4170,4070,4110,3188.526855,39350000,3131.63501,3290.931885
2001-01-31,4090,4400,4090,4400,3413.506836,53045000,3240.246338,3267.657812
2001-02-01,4270,4420,4190,4270,3312.65332,39730000,3304.89567,3224.213037
2001-02-02,4290,4390,4220,4290,3328.169189,27330000,3351.443115,3272.312304
2001-02-05,4170,4200,3990,4030,3126.462402,47135000,3255.761637,3273.86372
2001-02-06,3980,4020,3910,4010,3110.946045,31545000,3188.525879,3258.347558
2001-02-07,3960,3990,3900,3900,3025.609131,23130000,3087.672526,3180.768017
2001-02-08,3920,4060,3890,4060,3149.735352,34685000,3095.430176,3148.184424
2001-02-09,4040,4100,3980,4070,3157.493896,25230000,3110.946126,3114.049365
2001-02-12,3840,4050,3840,3970,3079.914307,36110000,3129.047852,3104.739746
2001-02-13,4040,4100,3970,3980,3087.672852,22295000,3108.360352,3100.085108
2001-02-14,3920,4040,3900,3980,3087.672852,19710000,3085.08667,3112.497852
2001-02-15,4200,4210,4100,4130,3204.042236,34930000,3126.462647,3123.359229
2001-02-16,4150,4310,4130,4250,3297.138428,46375000,3196.284505,3151.288135
2001-02-19,4180,4210,4100,4190,3250.589844,22880000,3250.590169,3185.423242
2001-02-20,4190,4280,4180,4240,3289.379639,18175000,3279.03597,3225.7646
2001-02-21,4160,4200,4140,4160,3227.316406,19500000,3255.761963,3253.693311
2001-02-22,4080,4100,3940,4010,3110.946045,43605000,3209.21403,3235.074072
2001-02-23,3920,3970,3830,3840,2979.060547,76855000,3105.774333,3171.458496
2001-02-26,3850,3860,3780,3840,2979.060547,35665000,3023.02238,3117.152637
2001-02-27,3840,3940,3790,3790,2940.270752,38695000,2966.130615,3047.330859
2001-02-28,3700,3780,3700,3740,2901.480957,28715000,2940.270752,2982.16377
2001-03-01,3740,3740,3740,3740,2901.480957,0,2914.410889,2940.270752
2001-03-02,3700,3700,3580,3610,2800.62793,44500000,2867.863281,2904.584229
2001-03-05,3530,3720,3530,3720,2885.96582,24620000,2862.691569,2885.965283
2001-03-06,3820,3850,3760,3800,2948.029053,25500000,2878.207601,2887.516943
2001-03-07,3960,4010,3900,4000,3103.188477,52640000,2979.061117,2927.858447
2001-03-08,3950,4010,3910,4010,3110.946045,31360000,3054.054525,2969.751465
2001-03-09,3940,3940,3820,3840,2979.060547,30800000,3064.398356,3005.437988
2001-03-12,3700,3760,3650,3670,2847.175049,38610000,2979.060547,2997.679834
2001-03-13,3570,3650,3540,3640,2823.901123,33815000,2883.378906,2972.854248
2001-03-14,3640,3640,3640,3640,2823.901123,0,2831.659098,2916.996777
2001-03-15,3790,3930,3760,3920,3041.124512,29370000,2896.308919,2903.032471
2001-03-16,3880,3920,3830,3890,3017.851318,23315000,2960.958984,2910.790625
2001-03-19,3810,3880,3770,3800,2948.029053,24865000,3002.334961,2930.961426
2001-03-20,3900,3920,3820,3820,2963.544678,21455000,2976.475016,2958.890137
2001-03-21,3720,3900,3700,3870,3002.334473,40550000,2971.302735,2994.576807
2001-03-22,3980,3990,3920,3980,3087.672852,37465000,3017.850668,3003.886475
2001-03-23,4090,4370,4080,4300,3335.927734,91755000,3141.978353,3067.501758
2001-03-26,4400,4430,4340,4340,3366.959229,42870000,3263.519938,3151.287793
2001-03-27,4300,4310,4120,4150,3219.55835,31345000,3307.481771,3202.490528
2001-03-28,4260,4260,4150,4150,3219.55835,26075000,3268.691976,3245.935303
2001-03-29,4090,4180,4040,4090,3173.010254,29920000,3204.042318,3263.002783
2001-03-30,4110,4170,4040,4160,3227.316406,30100000,3206.628337,3241.280518
2001-04-02,4040,4100,3960,3990,3095.429688,39140000,3165.252116,3186.97461
2001-04-03,3810,3870,3790,3800,2948.029053,46070000,3090.258382,3132.66875
2001-04-04,3700,3740,3630,3660,2839.418213,62280000,2960.958985,3056.640723
2001-04-05,3660,3660,3660,3660,2839.418213,0,2875.621826,2989.922315
2001-04-06,3960,3960,3780,3840,2979.060547,85290000,2885.965658,2940.271143
2001-04-09,3790,3810,3710,3710,2878.206787,25840000,2898.895182,2896.826563
2001-04-10,3710,3740,3610,3640,2823.901123,39175000,2893.722819,2872.000977
2001-04-11,3780,3800,3720,3720,2885.96582,44515000,2862.691243,2881.310498
2001-04-12,3940,4090,3900,4010,3110.946045,73660000,2940.270996,2935.616064
2001-04-13,4100,4150,4030,4060,3149.735352,38840000,3048.882406,2969.751025
2001-04-16,4060,4080,3940,3940,3056.640869,10200000,3105.774089,3005.437842
2001-04-17,3920,4020,3850,3970,3079.914307,16815000,3095.430176,3056.640479
2001-04-18,4110,4280,4070,4280,3320.411621,47790000,3152.322266,3143.529639
2001-04-19,4620,4920,4580,4700,3646.247803,131305000,3348.85791,3250.58999
2001-04-20,4720,4780,4490,4490,3483.329102,44905000,3483.329509,3317.30874
